portNumber,portName,regionNumber,regionName,countryCode,countryName,latitudeDegrees,latitudeMinutes,latitudeHemisphere,longitudeDegrees,longitudeMinutes,longitudeHemisphere,publicationNumber,chartNumber,harborSize,harborType,shelter,erTide,erSwell,erIce,erOther,overheadLimits,chDepth,anDepth,cpDepth,otDepth,tide,maxVesselCode,goodHoldingGround,turningArea,firstPortOfEntry,usRep,etaMessage,ptCompulsory,ptAvailable,ptLocalAssist,ptAdvisable,tugsSalvage,tugsAssist,qtPratique,qtDerattCert,qtOther,cmTelephone,cmTelegraph,cmRadio,cmRadioTel,cmAir,cmRail,loWharves,loAnchor,loMedMoor,loBeachMoor,loIceMoor,medFacilities,garbageDisposal,degauss,dirtyBallast,crFixed,crMobile,crFloating,lifts100,lifts50,lifts25,lifts0,srLongshore,srElectrical,srSteam,srNavigEquip,srElectRepair,suProvisions,suWater,suFuel,suDiesel,suDeck,suEngine,repairCode,drydock,railway,
5390,ASHLAND,5230,US LAKE SUPERIOR,US,United States,46,36,N,90,52,W,CP06,14974,S,CN,G,N,N,Y,Y,Y,M,L,M,,,M,N,N,,Y,N,Y,,,,Y,N,Y,Y,,Y,Y,,,Y,,Y,,,,,Y,,,N,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,C,,,
3470,ASHTABULA,3400,US LAKE ERIE,US,United States,41,54,N,80,48,W,CP06,14836,S,RB,E,N,N,Y,N,Y,M,M,M,M,,M,Y,Y,,,N,Y,,,,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,Y,Y,,Y,Y,,,Y,Y,Y,,,,Y,Y,Y,Y,Y,Y,A,L,,
16850,ASTORIA,16000,UNITED STATES W COAST,US,United States,46,12,N,123,50,W,CP07,18521,S,RN,E,,,N,N,Y,H,,K,E,7,L,,Y,Y,,Y,N,Y,,Y,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,N,Y,,,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,,M,
8020,ATLANTIC CITY,6585,UNITED STATES E COAST,US,United States,39,22,N,74,25,W,CP03,12316,V,CN,G,N,N,N,Y,Y,P,O,J,,4,M,,,N,N,,Y,,,,,,Y,,,Y,,,,Y,Y,Y,,,,,Y,,,N,,,,,,,,,,,,,Y,Y,Y,Y,,,C,,,
7120,AUGUSTA,6585,UNITED STATES E COAST,US,United States,44,19,N,69,46,W,CP01,13298,V,RN,G,N,N,Y,Y,Y,P,P,Q,,4,M,,,N,N,N,Y,,,,N,N,Y,Y,,Y,,,,,,Y,,,,,Y,,,N,,,,,,,,,,,,,Y,,Y,Y,Y,,C,,S,
4450,AU SABLE,4300,US LAKE HURON,US,United States,44,24,N,83,19,W,CP06,14863,V,RN,E,N,N,Y,Y,Y,Q,N,Q,,,M,Y,N,N,N,N,Y,,,,N,N,Y,Y,,,,,,,,Y,,,,,,,,N,,,,,,,,,,,,,Y,Y,,Y,Y,Y,C,,,
16050,AVALON,16000,UNITED STATES W COAST,US,United States,33,21,N,118,19,W,CP07,18757,V,CN,F,N,N,N,N,,,,,,4,,,,,,,,,,,,,,,,Y,Y,,,Y,,,,,,,Y,Y,,,,,,,,,,N,N,N,N,N,Y,Y,N,Y,N,N,C,,,
8210,BALTIMORE,6585,UNITED STATES E COAST,US,United States,39,16,N,76,35,W,CP03,12281,L,RN,G,N,N,N,Y,Y,G,G,G,J,1,L,,Y,Y,Y,Y,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,L,L,
16720,BANDON,16000,UNITED STATES W COAST,US,United States,43,7,N,124,25,W,CP07,18588,V,RN,E,,Y,N,Y,Y,,O,O,,5,,,,,N,,Y,Y,,,,,,,,,,,,,,Y,Y,,,,N,N,,,,,,,,,,Y,Y,N,N,N,N,Y,N,N,N,N,,,,
6900,BANGOR,6585,UNITED STATES E COAST,US,United States,44,48,N,68,46,W,CP01,13309,S,RN,G,Y,N,Y,Y,Y,O,N,M,M,13,L,Y,Y,Y,N,Y,Y,,,,N,Y,Y,N,,Y,,,,Y,Y,Y,,,,,Y,,,N,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,C,,,
5320,BARAGA,5230,US LAKE SUPERIOR,US,United States,46,47,N,88,29,W,CP06,14971,V,CN,G,N,N,Y,Y,N,N,N,N,,,M,N,N,,N,N,Y,,,,N,N,Y,Y,,Y,,,,,,Y,,,,,Y,,,N,,,,,,,,,,,,,Y,Y,Y,,,,,,,
20050,BARALOF BAY,19080,ALASKA,US,United States,55,14,N,160,32,W,CP09,16553,V,CN,F,N,N,N,,,,A,L,P,5,,,,,,Y,,Y,,,,,,,N,,Y,,Y,Y,,Y,Y,,,,N,,,,,,,,,,,,,,,,Y,Y,N,N,N,N,,,,
56272,BARBER'S POINT,56050,HAWAIIAN ISLANDS,US,United States,21,19,N,158,7,W,CP07,19357,V,CB,F,,,,Y,Y,H,A,J,N,1,M,,,,,,Y,Y,,,N,N,,Y,Y,Y,Y,Y,,,,,,,,,Y,N,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,M,,
56270,BARBERS POINT TERMINAL,56045,UNITED STATES,US,United States,21,16,N,158,6,W,CP07,19339,V,OR,P,,,,Y,,,B,,B,,M,N,Y,,,Y,Y,Y,,,,Y,,,Y,Y,Y,Y,,,,,Y,Y,,,Y,Y,,Y,,,,,,,,,,,,,Y,,,,,,,,,
6700,BAR HARBOR,6585,UNITED STATES E COAST,US,United States,44,23,N,68,12,W,CP01,13323,V,CN,F,N,N,N,Y,N,N,P,O,,10,M,Y,Y,Y,N,N,N,Y,,,N,N,Y,N,,Y,,,,,,Y,,,,,Y,,,N,,,,,,,,,Y,,,Y,Y,Y,,Y,,,C,,S,
8000,BARNEGAT,6585,UNITED STATES E COAST,US,United States,39,46,N,74,6,W,CP03,12324,V,CN,G,N,N,N,Y,Y,P,P,P,,3,M,,,N,N,,,,Y,Y,N,N,Y,,,Y,,,,,Y,Y,,,,,Y,,,N,,,,,,,,,,,,,Y,Y,Y,Y,,,C,,S,
20480,BARROW,20185,ALASKA CONTINUED,US,United States,71,17,N,156,47,W,CP09,16082,V,OR,P,N,N,Y,Y,,,,,,,,,,,,Y,,Y,,,,,,,,Y,Y,Y,Y,Y,,,,,,,Y,N,,,,,,,,,,N,N,N,N,N,Y,Y,N,Y,N,N,,,,
6770,BASS HARBOR,6585,UNITED STATES E COAST,US,United States,44,14,N,68,21,W,CP01,13316,V,CN,F,Y,N,N,Y,N,P,P,P,,10,M,,,N,N,N,N,Y,,,N,N,Y,N,,Y,,,,,,Y,,,,,,,,N,,,,,,Y,Y,,Y,,,Y,Y,Y,Y,Y,Y,Y,B,,S,
7080,BATH,6585,UNITED STATES E COAST,US,United States,43,55,N,69,49,W,CP01,13296,S,RN,G,Y,N,N,Y,N,L,L,L,,6,M,,,N,N,N,Y,,,Y,N,Y,Y,Y,,Y,,,,Y,Y,Y,,,,,Y,,,N,Y,Y,Y,Y,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,A,M,S,
8970,BATON ROUGE,8650,US GULF COAST,US,United States,30,27,N,91,11,W,CP05,11370,S,RN,G,N,N,N,N,Y,H,H,K,J,3,L,Y,Y,Y,N,Y,Y,,,Y,,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,A,S,S,
8400,BAYBORO,6585,UNITED STATES E COAST,US,United States,35,9,N,76,46,W,CP04,11552,V,RN,G,N,N,N,Y,Y,O,P,P,P,,M,,,N,N,N,N,N,,,,,Y,Y,,Y,,,,,,Y,,,,,Y,,,N,,,,,,,,,,,,,Y,Y,Y,,Y,Y,C,,S,
4400,BAY CITY,4300,US LAKE HURON,US,United States,43,36,N,83,52,W,CP06,14867,S,RN,E,N,N,Y,,Y,L,M,M,N,,M,Y,Y,Y,N,N,Y,,,,N,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,,,,Y,,,N,Y,Y,,,Y,,,Y,Y,,,,Y,Y,Y,Y,Y,Y,A,S,,
17050,BAY CITY,16000,UNITED STATES W COAST,US,United States,46,52,N,124,4,W,CP07,18502,V,RN,E,N,N,N,Y,Y,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5410,BAYFIELD,5230,US LAKE SUPERIOR,US,United States,46,48,N,90,49,W,CP06,14973,V,CN,P,N,N,Y,Y,N,P,H,N,,,M,N,N,,N,N,Y,,,,N,N,Y,Y,,Y,,,,,,Y,,,,,Y,,,N,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,C,,,
19330,BAY OF PILLARS,19080,ALASKA,US,United States,56,36,N,134,14,W,CP08,17370,V,CN,G,N,N,N,,,,B,K,,10,,,,,,,,Y,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7790,BAYONNE,6585,UNITED STATES E COAST,US,United States,40,41,N,74,6,W,CP02,12333,M,RN,G,N,N,N,Y,Y,K,H,H,K,5,L,Y,Y,Y,N,Y,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,,M,
9170,BAYTOWN,8650,US GULF COAST,US,United States,29,44,N,95,1,W,CP05,11329,V,CN,G,Y,N,N,Y,Y,G,K,J,J,1,L,Y,Y,Y,,Y,Y,,,Y,Y,Y,Y,,,Y,N,,Y,,Y,Y,,,,,Y,Y,,Y,,,,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,,,S,
7895,BAYWAY,6585,UNITED STATES E COAST,US,United States,40,38,N,74,12,W,CP02,12333,V,RN,G,N,N,N,Y,Y,K,K,L,J,5,L,Y,Y,Y,N,Y,Y,,,,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,N,Y,,,,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,C,,,
19970,BEAR ISLAND,19080,ALASKA,US,United States,58,27,N,152,41,W,CP09,16605,V,CN,F,N,N,N,Y,,,,,,11,,,,,,Y,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8420,BEAUFORT,6585,UNITED STATES E COAST,US,United States,34,43,N,76,40,W,CP04,11547,V,CN,G,N,N,N,Y,N,O,O,O,L,3,L,,,N,N,N,Y,N,,,,,Y,Y,,Y,,,,,Y,Y,,,,,Y,,,N,,,,,,,,,,,,,Y,Y,,Y,,,C,,S,
8520,BEAUFORT,6585,UNITED STATES E COAST,US,United States,32,26,N,80,40,W,CP04,11516,V,RN,G,N,N,N,Y,,O,P,N,,7,L,N,,N,N,Y,Y,,,,N,Y,Y,Y,,Y,,,,,Y,Y,,,,,Y,,,N,,,,,,,,,Y,,,,Y,Y,,Y,Y,Y,C,,S,
9140,BEAUMONT,8650,US GULF COAST,US,United States,30,5,N,94,5,W,CP05,11343,M,RN,G,Y,N,Y,Y,Y,J,L,L,L,,L,,Y,Y,,Y,Y,Y,,Y,,Y,Y,,,Y,Y,,Y,Y,Y,Y,,,,,Y,Y,,N,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,S,S,
6920,BELFAST,6585,UNITED STATES E COAST,US,United States,44,25,N,69,0,W,CP01,13309,V,RN,F,Y,N,Y,Y,Y,O,L,O,,10,M,Y,,Y,N,Y,Y,,,,N,Y,Y,N,,Y,,,,,Y,Y,,,,,Y,,,N,,,,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,C,,,
8380,BELHAVEN,6585,UNITED STATES E COAST,US,United States,35,37,N,76,37,W,CP04,11548,V,RN,G,N,N,N,Y,Y,P,O,P,,,M,,,N,N,N,N,N,,,,,Y,Y,,Y,,,,,Y,Y,,,,,Y,,,N,,,,,Y,,,,,,,,Y,Y,Y,Y,Y,Y,C,,S,
20070,BELKOFSKI,19080,ALASKA,US,United States,55,5,N,162,2,W,CP09,16549,V,OR,P,,,,,,,E,,,5,,,,,,Y,,Y,,,,,,,,,,Y,Y,,,,Y,,,,N,N,,,,,,,,,,Y,Y,N,N,N,,,,,,,,,,
18050,BELLINGHAM,16000,UNITED STATES W COAST,US,United States,48,45,N,122,30,W,CP07,18424,S,CN,E,N,N,N,Y,,,K,K,N,5,L,N,Y,Y,,Y,Y,,,Y,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,N,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,,M,
16470,BENICIA,16000,UNITED STATES W COAST,US,United States,38,3,N,122,9,W,CP07,18657,V,CN,E,N,N,N,Y,Y,K,,K,,4,,,,,N,Y,Y,Y,,,N,Y,,,,Y,Y,,,Y,Y,Y,,,,,Y,Y,,,,,,,,,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,M,,
16360,BERKELEY,16000,UNITED STATES W COAST,US,United States,37,52,N,122,18,W,CP07,18653,V,CN,E,N,N,N,Y,Y,P,,,,4,,,,,N,,Y,Y,,,,,,,,Y,Y,Y,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,
20486,BERNARD HARBOR,20185,ALASKA CONTINUED,US,United States,70,8,N,143,38,W,CP09,16043,V,OR,F,N,N,Y,Y,,P,P,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20310,BETHEL,20185,ALASKA CONTINUED,US,United States,60,49,N,161,43,W,CP09,16006,V,RN,F,N,N,N,Y,,,,,,4,,,,,,Y,,Y,,,,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,
7220,BEVERLY,6585,UNITED STATES E COAST,US,United States,42,32,N,70,53,W,CP01,13276,V,CN,G,Y,N,N,Y,N,M,M,M,,9,M,Y,,N,N,Y,Y,,,,,Y,Y,Y,,Y,,,,,Y,Y,,,,,,,,N,,Y,,,,,Y,,,,,Y,Y,Y,Y,Y,,,C,,S,
19370,BIG PORT WALTER,19080,ALASKA,US,United States,56,23,N,134,44,W,CP08,17333,V,CN,G,N,N,Y,Y,,A,,J,,9,,,,,,,,Y,,,,,,,,,,,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,
8790,BILOXI,8650,US GULF COAST,US,United States,30,23,N,88,53,W,CP05,11373,V,CN,E,N,N,N,Y,Y,P,P,P,,2,,Y,,Y,Y,Y,Y,Y,,,,Y,Y,,,Y,,Y,Y,Y,Y,Y,,,,,Y,,,N,,,,,,,,,Y,,,,Y,Y,Y,Y,Y,Y,C,M,S,
18070,BLAINE,16000,UNITED STATES W COAST,US,United States,49,0,N,122,45,W,CP07,18421,V,CN,G,N,N,N,Y,,,P,M,,6,,,,Y,,,Y,,,,,,,,,Y,,,,,Y,Y,Y,,,,Y,Y,,,,,,,,,,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,C,,M,
8665,BOCA GRANDE,8650,US GULF COAST,US,United States,26,42,N,82,20,W,CP05,11426,V,CN,E,N,N,N,Y,,K,M,K,L,1,L,Y,,Y,N,Y,Y,Y,,,,Y,Y,,,Y,,Y,Y,,,Y,,,,,Y,,,N,,,,,,,,Y,,,,,Y,Y,Y,Y,Y,Y,C,,M,
16630,BODEGA BAY,16000,UNITED STATES W COAST,US,United States,38,20,N,123,3,W,CP07,18643,V,CN,F,Y,Y,N,Y,N,P,P,,,4,,,Y,,N,,Y,Y,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,,,S,
7040,BOOTHBAY HARBOR,6585,UNITED STATES E COAST,US,United States,43,52,N,69,35,W,CP01,13293,V,CN,F,Y,N,Y,Y,N,N,H,O,,9,M,,,N,N,N,N,N,,,N,Y,Y,Y,,Y,,,,,,Y,,,,,,,,N,,Y,,,,,Y,,,,,,Y,Y,,Y,Y,Y,B,,S,
7250,BOSTON,6585,UNITED STATES E COAST,US,United States,42,21,N,71,3,W,CP01,13270,L,CN,E,N,N,N,N,Y,J,H,H,J,10,L,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,Y,N,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,L,L,
17430,BREMERTON,16000,UNITED STATES W COAST,US,United States,47,34,N,122,39,W,CP07,18452,M,CN,E,N,N,N,Y,Y,H,H,H,,8,L,Y,,Y,,,Y,,,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,,Y,Y,Y,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,L,,
7570,BRIDGEPORT,6585,UNITED STATES E COAST,US,United States,41,10,N,73,11,W,CP02,12369,M,CB,E,Y,N,N,Y,N,L,G,K,K,7,L,,Y,Y,N,Y,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,N,,,,,,,Y,,,,,,Y,Y,Y,Y,Y,Y,C,,S,
8150,BRISTOL,6585,UNITED STATES E COAST,US,United States,40,6,N,74,51,W,CP03,12314,V,RN,E,N,N,Y,Y,Y,M,M,J,J,6,M,,,Y,N,N,Y,,,,,Y,Y,Y,,Y,,,,Y,Y,Y,,,,,Y,,,N,,,,,,,,,,,,,,,,,,,,,S,
7410,BRISTOL,6585,UNITED STATES E COAST,US,United States,41,40,N,71,16,W,CP02,13224,V,CN,G,N,N,N,Y,,M,N,O,,4,M,N,N,N,N,Y,Y,,,,N,Y,Y,Y,,Y,,,,Y,Y,Y,,,,,Y,Y,,N,,,,,,,,,,,,,Y,Y,,Y,,,C,,S,
6790,BROOKLIN,6585,UNITED STATES E COAST,US,United States,44,16,N,68,35,W,CP01,13316,V,CN,F,N,N,Y,N,N,O,M,P,,,M,Y,,N,N,N,N,N,,,N,N,Y,N,,Y,,,,,,Y,,,,,,,,N,,,,,,,,,,,,,Y,Y,N,N,,,C,,S,
7630,BROOKLYN,6585,UNITED STATES E COAST,US,United States,40,40,N,74,1,W,CP02,12335,L,RN,E,N,N,N,Y,Y,H,H,H,J,5,L,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,M,L,
9340,BROWNSVILLE,8650,US GULF COAST,US,United States,25,57,N,97,24,W,CP05,11302,S,LC,G,Y,N,N,N,Y,H,K,K,K,1,L,,Y,Y,N,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,C,S,S,
8550,BRUNSWICK,6585,UNITED STATES E COAST,US,United States,31,9,N,81,30,W,CP04,11506,S,RN,G,Y,N,N,Y,Y,K,L,L,L,8,L,Y,Y,Y,N,Y,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,N,Y,Y,,,Y,,,Y,Y,,,,Y,Y,Y,Y,Y,Y,C,,M,
6800,BUCKS HARBOR,6585,UNITED STATES E COAST,US,United States,44,20,N,68,44,W,CP01,13309,V,CN,G,N,N,N,Y,N,M,J,O,,,M,Y,,N,N,N,N,N,,,N,N,Y,N,,Y,,,,,,Y,,,,,,,,N,,,,,,,,,,,,Y,Y,Y,Y,Y,,,,,,
6880,BUCKSPORT,6585,UNITED STATES E COAST,US,United States,44,34,N,68,47,W,CP01,13309,V,RN,G,Y,N,N,Y,Y,K,O,K,K,11,M,,,Y,N,Y,Y,,,Y,N,Y,Y,N,,Y,,Y,Y,Y,Y,Y,,,,,Y,,,N,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,C,,S,
3430,BUFFALO,3400,US LAKE ERIE,US,United States,42,53,N,78,53,W,CP06,14833,L,CB,E,N,N,Y,Y,Y,L,L,M,,,L,Y,Y,Y,,Y,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,Y,Y,Y,,,Y,,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,A,L,,
